id,compound,formula
LMGP01010512,1-tetradecanoyl-2-(4Z_7Z_10Z_13Z_16Z_19Z-docosahexaenoyl)-sn-glycero-3-phosphocholine,C44H76NO8P
LMGP01010513,1-tetradecanoyl-2-(4Z_7Z_10Z_13Z_16Z_19Z-docosahexaenoyl)-sn-glycero-3-phosphocholine,C44H76NO8P
LMGP01010514,1-tetradecanoyl-2-tricosanoyl-sn-glycero-3-phosphocholine,C45H90NO8P
LMGP01010515,1-tetradecanoyl-2-tetracosanoyl-sn-glycero-3-phosphocholine,C46H92NO8P
LMGP01010516,1-tetradecanoyl-2-(15Z-tetracosenoyl)-sn-glycero-3-phosphocholine,C46H90NO8P
LMGP01010517,1-tetradecanoyl-2-pentacosanoyl-sn-glycero-3-phosphocholine,C47H94NO8P
LMGP01010518,1-tetradecanoyl-2-hexacosanoyl-sn-glycero-3-phosphocholine,C48H96NO8P
LMGP01010519,1-tetradecanoyl-2-hexanoyl-sn-glycero-3-phosphocholine,C28H56NO8P
LMGP01010520,1-tetradecanoyl-2-nonanoyl-sn-glycero-3-phosphocholine,C31H62NO8P
LMGP01010521,1_2-di-(9E-tetradecenoyl)-sn-glycero-3-phosphocholine,C36H68NO8P
LMGP01010522,1-(9E-tetradecenoyl)-2-(9E-tetradecenoyl)-sn-glycero-3-phosphocholine,C36H68NO8P
LMGP01010523,1_2-di-(9Z-tetradecenoyl)-sn-glycero-3-phosphocholine,C36H68NO8P
LMGP01010524,1-(9Z-tetradecenoyl)-2-(9Z-tetradecenoyl)-sn-glycero-3-phosphocholine,C36H68NO8P
LMGP01010525,1-pentadecanoyl-2-decanoyl-sn-glycero-3-phosphocholine,C33H66NO8P
LMGP01010526,1-pentadecanoyl-2-undecanoyl-sn-glycero-3-phosphocholine,C34H68NO8P
LMGP01010527,1-pentadecanoyl-2-dodecanoyl-sn-glycero-3-phosphocholine,C35H70NO8P
LMGP01010528,1-pentadecanoyl-2-tridecanoyl-sn-glycero-3-phosphocholine,C36H72NO8P
LMGP01010529,1-pentadecanoyl-2-tetradecanoyl-sn-glycero-3-phosphocholine,C37H74NO8P
LMGP01010530,1_2-dipentadecanoyl-sn-glycero-3-phosphocholine,C38H76NO8P
LMGP01010531,1-pentadecanoyl-2-pentadecanoyl-sn-glycero-3-phosphocholine,C38H76NO8P
LMGP01010532,1-pentadecanoyl-2-hexadecanoyl-sn-glycero-3-phosphocholine,C39H78NO8P
LMGP01010533,1-pentadecanoyl-2-hexadecanoyl-sn-glycero-3-phosphocholine,C39H78NO8P
LMGP01010534,1-pentadecanoyl-2-(7Z-hexadecenoyl)-sn-glycero-3-phosphocholine,C39H76NO8P
LMGP01010535,1-pentadecanoyl-2-(9Z-hexadecenoyl)-sn-glycero-3-phosphocholine,C39H76NO8P
LMGP01010536,1-pentadecanoyl-2-(9Z-hexadecenoyl)-sn-glycero-3-phosphocholine,C39H76NO8P
LMGP01010537,1-pentadecanoyl-2-heptadecanoyl-sn-glycero-3-phosphocholine,C40H80NO8P
LMGP01010538,1-pentadecanoyl-2-heptadecanoyl-sn-glycero-3-phosphocholine,C40H80NO8P
LMGP01010539,1-pentadecanoyl-2-octadecanoyl-sn-glycero-3-phosphocholine,C41H82NO8P
LMGP01010540,1-pentadecanoyl-2-octadecanoyl-sn-glycero-3-phosphocholine,C41H82NO8P
LMGP01010541,1-pentadecanoyl-2-(11Z-octadecenoyl)-sn-glycero-3-phosphocholine,C41H80NO8P
LMGP01010542,1-pentadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine,C41H80NO8P
LMGP01010543,1-pentadecanoyl-2-(9Z_12Z-octadecadienoyl)-sn-glycero-3-phosphocholine,C41H78NO8P
LMGP01010544,1-pentadecanoyl-2-(9Z_12Z-octadecadienoyl)-sn-glycero-3-phosphocholine,C41H78NO8P
LMGP01010545,1-pentadecanoyl-2-nonadecanoyl-sn-glycero-3-phosphocholine,C42H84NO8P
LMGP01010546,1-pentadecanoyl-2-(9Z_12Z_15Z-nonadecatrienoyl)-sn-glycero-3-phosphocholine,C42H78NO8P
LMGP01010547,1-pentadecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine,C43H86NO8P
LMGP01010548,1-pentadecanoyl-2-(5Z_8Z_11Z_14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine,C43H78NO8P
LMGP01010549,1-pentadecanoyl-2-heneicosanoyl-sn-glycero-3-phosphocholine,C44H88NO8P
LMGP01010550,1-pentadecanoyl-2-docosanoyl-sn-glycero-3-phosphocholine,C45H90NO8P
LMGP01010551,1-pentadecanoyl-2-tricosanoyl-sn-glycero-3-phosphocholine,C46H92NO8P
LMGP01010552,1-pentadecanoyl-2-tetracosanoyl-sn-glycero-3-phosphocholine,C47H94NO8P
LMGP01010553,1-pentadecanoyl-2-pentacosanoyl-sn-glycero-3-phosphocholine,C48H96NO8P
LMGP01010554,1-pentadecanoyl-2-nonanoyl-sn-glycero-3-phosphocholine,C32H64NO8P
LMGP01010555,1-hexadecanoyl-2-decanoyl-sn-glycero-3-phosphocholine,C34H68NO8P
LMGP01010556,1-hexadecanoyl-2-undecanoyl-sn-glycero-3-phosphocholine,C35H70NO8P
LMGP01010557,1-hexadecanoyl-2-dodecanoyl-sn-glycero-3-phosphocholine,C36H72NO8P
LMGP01010558,1-hexadecanoyl-2-dodecanoyl-sn-glycero-3-phosphocholine,C36H72NO8P
LMGP01010559,1-hexadecanoyl-2-tridecanoyl-sn-glycero-3-phosphocholine,C37H74NO8P
LMGP01010560,1-hexadecanoyl-2-tetradecanoyl-sn-glycero-3-phosphocholine,C38H76NO8P
LMGP01010561,1-hexadecanoyl-2-tetradecanoyl-sn-glycero-3-phosphocholine,C38H76NO8P
LMGP01010562,1-hexadecanoyl-2-pentadecanoyl-sn-glycero-3-phosphocholine,C39H78NO8P
LMGP01010563,1-hexadecanoyl-2-pentadecanoyl-sn-glycero-3-phosphocholine,C39H78NO8P
LMGP01010564,1_2-dihexadecanoyl-sn-glycero-3-phosphocholine,C40H80NO8P
LMGP01010565,1-hexadecanoyl-2-hexadecanoyl-sn-glycero-3-phosphocholine,C40H80NO8P
LMGP01010566,1-hexadecanoyl-2-(9Z-hexadecenoyl)-sn-glycero-3-phosphocholine,C40H78NO8P
LMGP01010567,1-hexadecanoyl-2-(9Z-hexadecenoyl)-sn-glycero-3-phosphocholine,C40H78NO8P
LMGP01010568,1-hexadecanoyl-2-(2E_4E_12E_14E-hexadecatetraenoyl)-sn-glycero-3-phosphocholine,C40H72NO8P
LMGP01010569,1-hexadecanoyl-2-heptadecanoyl-sn-glycero-3-phosphocholine,C41H82NO8P
LMGP01010570,1-hexadecanoyl-2-heptadecanoyl-sn-glycero-3-phosphocholine,C41H82NO8P
LMGP01010571,1-hexadecanoyl-2-(9Z-heptadecenoyl)-sn-glycero-3-phosphocholine,C41H80NO8P
LMGP01010572,1-hexadecanoyl-2-(9Z-heptadecenoyl)-sn-glycero-3-phosphocholine,C41H80NO8P
LMGP01010573,1-hexadecanoyl-2-octadecanoyl-sn-glycero-3-phosphocholine,C42H84NO8P
LMGP01010574,1-hexadecanoyl-2-octadecanoyl-sn-glycero-3-phosphocholine,C42H84NO8P
LMGP01010575,1-hexadecanoyl-2-(11E-octadecenoyl)-sn-glycero-3-phosphocholine,C42H82NO8P
LMGP01010576,1-hexadecanoyl-2-(11Z-octadecenoyl)-sn-glycero-3-phosphocholine,C42H82NO8P
LMGP01010577,1-hexadecanoyl-2-(11Z-octadecenoyl)-sn-glycero-3-phosphocholine,C42H82NO8P
LMGP01010578,1-hexadecanoyl-2-(6E-octadecenoyl)-sn-glycero-3-phosphocholine,C42H82NO8P
LMGP01010579,1-hexadecanoyl-2-(6Z-octadecenoyl)-sn-glycero-3-phosphocholine,C42H82NO8P
LMGP01010580,1-hexadecanoyl-2-(6Z-octadecenoyl)-sn-glycero-3-phosphocholine,C42H82NO8P
LMGP01010581,1-hexadecanoyl-2-(9E-octadecenoyl)-sn-glycero-3-phosphocholine,C42H82NO8P
LMGP01010582,1-hexadecanoyl-2-(9E-octadecenoyl)-sn-glycero-3-phosphocholine,C42H82NO8P
LMGP01010583,2-(9Z-octadecenoyl)-3-hexadecanoyl-sn-glycero-1-phosphocholine,C42H82NO8P
LMGP01010584,1-hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine,C42H82NO8P
LMGP01010585,1-hexadecanoyl-2-(10E_12Z-octadecadienoyl)-sn-glycero-3-phosphocholine,C42H80NO8P
LMGP01010586,1-hexadecanoyl-2-(11Z_13Z-octadecadienoyl)-sn-glycero-3-phosphocholine,C42H80NO8P
LMGP01010587,1-hexadecanoyl-2-(2E_4E-octadecadienoyl)-sn-glycero-3-phosphocholine,C42H80NO8P
LMGP01010588,1-hexadecanoyl-2-(2Z_4Z-octadecadienoyl)-sn-glycero-3-phosphocholine,C42H80NO8P
LMGP01010589,1-hexadecanoyl-2-(6Z_9Z-octadecadienoyl)-sn-glycero-3-phosphocholine,C42H80NO8P
LMGP01010590,1-hexadecanoyl-2-(9E_11E-octadecadienoyl)-sn-glycero-3-phosphocholine,C42H80NO8P
LMGP01010591,1-hexadecanoyl-2-(9E_11Z-octadecadienoyl)-sn-glycero-3-phosphocholine,C42H80NO8P
LMGP01010592,1-hexadecanoyl-2-(9E_12E-octadecadienoyl)-sn-glycero-3-phosphocholine,C42H80NO8P
LMGP01010593,1-hexadecanoyl-2-(9E_12E-octadecadienoyl)-sn-glycero-3-phosphocholine,C42H80NO8P
LMGP01010594,1-hexadecanoyl-2-(9Z_12Z-octadecadienoyl)-sn-glycero-3-phosphocholine,C42H80NO8P
LMGP01010595,2-(9Z_12Z-octadecadienoyl)-3-hexadecanoyl-sn-glycero-1-phosphocholine,C42H80NO8P
LMGP01010596,1-hexadecanoyl-2-(9Z_12Z-octadecadienoyl)-sn-glycero-3-phosphocholine,C42H80NO8P
LMGP01010597,1-hexadecanoyl-2-(5E_9Z_12Z-octadecatrienoyl)-sn-glycero-3-phosphocholine,C42H78NO8P
LMGP01010598,1-hexadecanoyl-2-(6Z_9Z_12Z-octadecatrienoyl)-sn-glycero-3-phosphocholine,C42H78NO8P
LMGP01010599,1-hexadecanoyl-2-(6Z_9Z_12Z-octadecatrienoyl)-sn-glycero-3-phosphocholine,C42H78NO8P
LMGP01010600,1-hexadecanoyl-2-(9E_12E_15E-octadecatrienoyl)-sn-glycero-3-phosphocholine,C42H78NO8P
LMGP01010601,1-hexadecanoyl-2-(9Z_12Z_15Z-octadecatrienoyl)-sn-glycero-3-phosphocholine,C42H78NO8P
LMGP01010602,1-hexadecanoyl-2-(9Z_12Z_15Z-octadecatrienoyl)-sn-glycero-3-phosphocholine,C42H78NO8P
LMGP01010603,1-hexadecanoyl-2-(6Z_9Z_12Z_15Z-octadecatetraenoyl)-sn-glycero-3-phosphocholine,C42H76NO8P
LMGP01010604,1-hexadecanoyl-2-(9E_11E_13E_15E-octadecatetraenoyl)-sn-glycero-3-phosphocholine,C42H76NO8P
LMGP01010605,1-hexadecanoyl-2-(9E_11E_13E_15E-octadecatetraenoyl)-sn-glycero-3-phosphocholine,C42H76NO8P
LMGP01010606,1-hexadecanoyl-2-(9Z_11E_13E_15Z-octadecatetraenoyl)-sn-glycero-3-phosphocholine,C42H76NO8P
LMGP01010607,1-hexadecanoyl-2-(9Z_11E_13E_15Z-octadecatetraenoyl)-sn-glycero-3-phosphocholine,C42H76NO8P
LMGP01010608,1-hexadecanoyl-2-(9Z_11Z_13Z_15Z-octadecatetraenoyl)-sn-glycero-3-phosphocholine,C42H76NO8P
LMGP01010609,1-hexadecanoyl-2-nonadecanoyl-sn-glycero-3-phosphocholine,C43H86NO8P
LMGP01010610,1-hexadecanoyl-2-(9Z_12Z-nonadecadienoyl)-sn-glycero-3-phosphocholine,C43H82NO8P
LMGP01010611,1-hexadecanoyl-2-(9Z_12Z_15Z-nonadecatrienoyl)-sn-glycero-3-phosphocholine,C43H80NO8P
LMGP01010612,1-hexadecanoyl-2-acetyl-sn-glycero-3-phosphocholine,C26H52NO8P
LMGP01010613,2-acetyl-3-hexadecanoyl-sn-glycero-1-phosphocholine,C26H52NO8P
LMGP01010614,1-hexadecanoyl-2-acetyl-sn-glycero-3-phosphocholine,C26H52NO8P
LMGP01010616,1-hexadecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine,C44H88NO8P
LMGP01010617,1-hexadecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine,C44H88NO8P
LMGP01010618,1-hexadecanoyl-2-(11Z-eicosenoyl)-sn-glycero-3-phosphocholine,C44H86NO8P
LMGP01010619,1-hexadecanoyl-2-(11E_14E-eicosadienoyl)-sn-glycero-3-phosphocholine,C44H84NO8P
LMGP01010620,1-hexadecanoyl-2-(11E_14E_17E-eicosatrienoyl)-sn-glycero-3-phosphocholine,C44H82NO8P
LMGP01010621,1-hexadecanoyl-2-(5E_8E_11E-eicosatrienoyl)-sn-glycero-3-phosphocholine,C44H82NO8P
LMGP01010622,1-hexadecanoyl-2-(5Z_8Z_11Z-eicosatrienoyl)-sn-glycero-3-phosphocholine,C44H82NO8P
LMGP01010623,1-hexadecanoyl-2-(5Z_8Z_11Z-eicosatrienoyl)-sn-glycero-3-phosphocholine,C44H82NO8P
LMGP01010624,1-hexadecanoyl-2-(8E_11E_14E-eicosatrienoyl)-sn-glycero-3-phosphocholine,C44H82NO8P
LMGP01010625,2-(8E_11E_14E-eicosatrienoyl)-3-hexadecanoyl-sn-glycero-1-phosphocholine,C44H82NO8P
LMGP01010626,1-hexadecanoyl-2-(8E_11E_14E-eicosatrienoyl)-sn-glycero-3-phosphocholine,C44H82NO8P
LMGP01010627,1-hexadecanoyl-2-(8Z_11Z_14Z-eicosatrienoyl)-sn-glycero-3-phosphocholine,C44H82NO8P
LMGP01010628,1-hexadecanoyl-2-(8Z_11Z_14Z-eicosatrienoyl)-sn-glycero-3-phosphocholine,C44H82NO8P
LMGP01010629,1-hexadecanoyl-2-(5E_8E_11E_14E-eicosatetraenoyl)-sn-glycero-3-phosphocholine,C44H80NO8P
LMGP01010630,1-hexadecanoyl-2-(5E_8E_11E_14E-eicosatetraenoyl)-sn-glycero-3-phosphocholine,C44H80NO8P
LMGP01010631,1-hexadecanoyl-2-(5Z_8Z_11Z_14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine,C44H80NO8P
LMGP01010632,1-hexadecanoyl-2-(5E_8E_11E_14E_17E-eicosapentaenoyl)-sn-glycero-3-phosphocholine,C44H78NO8P
LMGP01010633,1-hexadecanoyl-2-(5Z_8Z_11Z_14Z_17Z-eicosapentaenoyl)-sn-glycero-3-phosphocholine,C44H78NO8P
LMGP01010634,1-hexadecanoyl-2-(5Z_8Z_11Z_14Z_17Z-eicosapentaenoyl)-sn-glycero-3-phosphocholine,C44H78NO8P
LMGP01010635,1-hexadecanoyl-2-heneicosanoyl-sn-glycero-3-phosphocholine,C45H90NO8P
LMGP01010636,1-hexadecanoyl-2-docosanoyl-sn-glycero-3-phosphocholine,C46H92NO8P
LMGP01010637,1-hexadecanoyl-2-docosanoyl-sn-glycero-3-phosphocholine,C46H92NO8P
LMGP01010638,1-hexadecanoyl-2-(13Z-docosenoyl)-sn-glycero-3-phosphocholine,C46H90NO8P
LMGP01010639,1-hexadecanoyl-2-(13Z-docosenoyl)-sn-glycero-3-phosphocholine,C46H90NO8P
LMGP01010640,1-hexadecanoyl-2-(13Z_16Z-docosadienoyl)-sn-glycero-3-phosphocholine,C46H88NO8P
LMGP01010641,1-hexadecanoyl-2-(13Z_16Z_19Z-docosatrienoyl)-sn-glycero-3-phosphocholine,C46H86NO8P
LMGP01010642,1-hexadecanoyl-2-(7Z_10Z_13Z_16Z-docosatetraenoyl)-sn-glycero-3-phosphocholine,C46H84NO8P
LMGP01010643,1-hexadecanoyl-2-(7Z_10Z_13Z_16Z-docosatetraenoyl)-sn-glycero-3-phosphocholine,C46H84NO8P
LMGP01010644,1-hexadecanoyl-2-(4E_7E_10E_13E_16E-docosapentaenoyl)-sn-glycero-3-phosphocholine,C46H82NO8P
LMGP01010645,1-hexadecanoyl-2-(4Z_7Z_10Z_13Z_16Z-docosapentaenoyl)-sn-glycero-3-phosphocholine,C46H82NO8P
LMGP01010646,1-hexadecanoyl-2-(4Z_7Z_10Z_13Z_16Z-docosapentaenoyl)-sn-glycero-3-phosphocholine,C46H82NO8P
LMGP01010647,1-hexadecanoyl-2-(7Z_10Z_13Z_16Z_19Z-docosapentaenoyl)-sn-glycero-3-phosphocholine,C46H82NO8P
LMGP01010648,1-hexadecanoyl-2-(7Z_10Z_13Z_16Z_19Z-docosapentaenoyl)-sn-glycero-3-phosphocholine,C46H82NO8P
LMGP01010649,1-hexadecanoyl-2-(3Z_6Z_9Z_12Z_15Z_18-docosahexaenoyl)-sn-glycero-3-phosphocholine,C46H80NO8P
LMGP01010650,1-hexadecanoyl-2-(4E_7E_10E_13E_16E_19E-docosahexaenoyl)-sn-glycero-3-phosphocholine,C46H80NO8P
LMGP01010651,1-hexadecanoyl-2-(4E_7E_10E_13E_16E_19E-docosahexaenoyl)-sn-glycero-3-phosphocholine,C46H80NO8P
LMGP01010652,1-hexadecanoyl-2-(4Z_7Z_10Z_13Z_16Z_19Z-docosahexaenoyl)-sn-glycero-3-phosphocholine,C46H80NO8P
LMGP01010653,2-(4Z_7Z_10Z_13Z_16Z_19Z-docosahexaenoyl)-3-hexadecanoyl-sn-glycero-1-phosphocholine,C46H80NO8P
LMGP01010654,1-hexadecanoyl-2-(4Z_7Z_10Z_13Z_16Z_19Z-docosahexaenoyl)-sn-glycero-3-phosphocholine,C46H80NO8P
LMGP01010655,1-hexadecanoyl-2-tricosanoyl-sn-glycero-3-phosphocholine,C47H94NO8P
LMGP01010656,1-hexadecanoyl-2-(8E_11E_14E_17E_20E-tricosapentaenoyl)-sn-glycero-3-phosphocholine,C47H84NO8P
LMGP01010657,1-hexadecanoyl-2-tetracosanoyl-sn-glycero-3-phosphocholine,C48H96NO8P
LMGP01010658,1-hexadecanoyl-2-(15E-tetracosenoyl)-sn-glycero-3-phosphocholine,C48H94NO8P
LMGP01010659,1-hexadecanoyl-2-(15Z-tetracosenoyl)-sn-glycero-3-phosphocholine,C48H94NO8P
LMGP01010660,2-(15Z-tetracosenoyl)-3-hexadecanoyl-sn-glycero-1-phosphocholine,C48H94NO8P
LMGP01010661,1-hexadecanoyl-2-(15Z-tetracosenoyl)-sn-glycero-3-phosphocholine,C48H94NO8P
LMGP01010662,1-hexadecanoyl-2-pentacosanoyl-sn-glycero-3-phosphocholine,C49H98NO8P
LMGP01010663,1-hexadecanoyl-2-hexacosanoyl-sn-glycero-3-phosphocholine,C50H100NO8P
LMGP01010664,1-hexadecanoyl-2-hexacosanoyl-sn-glycero-3-phosphocholine,C50H100NO8P
LMGP01010665,1-hexadecanoyl-2-(5Z_9Z-hexacosadienoyl)-sn-glycero-3-phosphocholine,C50H96NO8P
LMGP01010666,1-hexadecanoyl-2-propionyl-sn-glycero-3-phosphocholine,C27H54NO8P
LMGP01010667,1-hexadecanoyl-2-propionyl-sn-glycero-3-phosphocholine,C27H54NO8P
LMGP01010668,1-hexadecanoyl-2-(2E-propionyl)-sn-glycero-3-phosphocholine,C27H52NO8P
LMGP01010669,1-hexadecanoyl-2-butyryl-sn-glycero-3-phosphocholine,C28H56NO8P
LMGP01010670,2-butyryl-3-hexadecanoyl-sn-glycero-1-phosphocholine,C28H56NO8P
LMGP01010671,1-hexadecanoyl-2-butyryl-sn-glycero-3-phosphocholine,C28H56NO8P
LMGP01010672,1-hexadecanoyl-2-valeryl-sn-glycero-3-phosphocholine,C29H58NO8P
LMGP01010673,1-hexadecanoyl-2-(4E-valeryl)-sn-glycero-3-phosphocholine,C29H56NO8P
LMGP01010674,1-hexadecanoyl-2-hexanoyl-sn-glycero-3-phosphocholine,C30H60NO8P
LMGP01010675,2-hexanoyl-3-hexadecanoyl-sn-glycero-1-phosphocholine,C30H60NO8P
LMGP01010676,1-hexadecanoyl-2-hexanoyl-sn-glycero-3-phosphocholine,C30H60NO8P
LMGP01010677,1-hexadecanoyl-2-nonanoyl-sn-glycero-3-phosphocholine,C33H66NO8P
LMGP01010678,1-(2Z-hexadecenoyl)-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine,C42H80NO8P
LMGP01010679,1-(7Z-hexadecenoyl)-2-octadecanoyl-sn-glycero-3-phosphocholine,C42H82NO8P
LMGP01010680,1-(7Z-hexadecenoyl)-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine,C42H80NO8P
LMGP01010681,1-(7Z-hexadecenoyl)-2-(9Z_12Z-octadecadienoyl)-sn-glycero-3-phosphocholine,C42H78NO8P
LMGP01010682,1_2-di-(9E-hexadecenoyl)-sn-glycero-3-phosphocholine,C40H76NO8P
LMGP01010683,1-(9E-hexadecenoyl)-2-(9E-hexadecenoyl)-sn-glycero-3-phosphocholine,C40H76NO8P
LMGP01010684,1_2-di-(9Z-hexadecenoyl)-sn-glycero-3-phosphocholine,C40H76NO8P
LMGP01010685,1-(9Z-hexadecenoyl)-2-(9Z-hexadecenoyl)-sn-glycero-3-phosphocholine,C40H76NO8P
LMGP01010686,1-(9Z-hexadecenoyl)-2-octadecanoyl-sn-glycero-3-phosphocholine,C42H82NO8P
LMGP01010687,1-(9Z-hexadecenoyl)-2-(11Z-octadecenoyl)-sn-glycero-3-phosphocholine,C42H80NO8P
LMGP01010688,1-(9Z-hexadecenoyl)-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine,C42H80NO8P
LMGP01010689,1-(9Z-hexadecenoyl)-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine,C42H80NO8P
LMGP01010690,1-(9Z-hexadecenoyl)-2-(9Z_12Z-octadecadienoyl)-sn-glycero-3-phosphocholine,C42H78NO8P
LMGP01010691,1-(9Z-hexadecenoyl)-2-(9Z_12Z-octadecadienoyl)-sn-glycero-3-phosphocholine,C42H78NO8P
LMGP01010692,1-(9Z-hexadecenoyl)-2-(6Z_9Z_12Z_15Z-octadecatetraenoyl)-sn-glycero-3-phosphocholine,C42H74NO8P
LMGP01010693,1-(9Z-hexadecenoyl)-2-acetyl-sn-glycero-3-phosphocholine,C26H50NO8P
LMGP01010694,1-(9Z-hexadecenoyl)-2-(5Z_8Z_11Z_14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine,C44H78NO8P
LMGP01010695,1-(9Z-hexadecenoyl)-2-(5Z_8Z_11Z_14Z-eicosatetraenoyl)-sn-glycero-3-phosphocholine,C44H78NO8P
LMGP01010696,1-(9Z-hexadecenoyl)-2-(4Z_7Z_10Z_13Z_16Z_19Z-docosahexaenoyl)-sn-glycero-3-phosphocholine,C46H78NO8P
LMGP01010697,1-(9Z-hexadecenoyl)-2-(4Z_7Z_10Z_13Z_16Z_19Z-docosahexaenoyl)-sn-glycero-3-phosphocholine,C46H78NO8P
LMGP01010698,1_2-di-(2E_4E-hexadecadienoyl)-sn-glycero-3-phosphocholine,C40H72NO8P
LMGP01010699,1-(2E_4E-hexadecadienoyl)-2-(2E_4E-octadecadienoyl)-sn-glycero-3-phosphocholine,C42H76NO8P
LMGP01010700,1-heptadecanoyl-2-decanoyl-sn-glycero-3-phosphocholine,C35H70NO8P
LMGP01010701,1-heptadecanoyl-2-undecanoyl-sn-glycero-3-phosphocholine,C36H72NO8P
LMGP01010702,1-heptadecanoyl-2-tridecanoyl-sn-glycero-3-phosphocholine,C38H76NO8P
LMGP01010703,1-heptadecanoyl-2-tetradecanoyl-sn-glycero-3-phosphocholine,C39H78NO8P
LMGP01010704,1-heptadecanoyl-2-pentadecanoyl-sn-glycero-3-phosphocholine,C40H80NO8P
LMGP01010705,1-heptadecanoyl-2-pentadecanoyl-sn-glycero-3-phosphocholine,C40H80NO8P
LMGP01010706,1-heptadecanoyl-2-hexadecanoyl-sn-glycero-3-phosphocholine,C41H82NO8P
LMGP01010707,1_2-diheptadecanoyl-sn-glycero-3-phosphocholine,C42H84NO8P
LMGP01010708,1-heptadecanoyl-2-heptadecanoyl-sn-glycero-3-phosphocholine,C42H84NO8P
LMGP01010709,1-heptadecanoyl-2-octadecanoyl-sn-glycero-3-phosphocholine,C43H86NO8P
LMGP01010710,1-heptadecanoyl-2-octadecanoyl-sn-glycero-3-phosphocholine,C43H86NO8P
LMGP01010711,1-heptadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine,C43H84NO8P
LMGP01010712,1-heptadecanoyl-2-(9Z_12Z-octadecadienoyl)-sn-glycero-3-phosphocholine,C43H82NO8P
LMGP01010713,1-heptadecanoyl-2-nonadecanoyl-sn-glycero-3-phosphocholine,C44H88NO8P
LMGP01010714,1-heptadecanoyl-2-acetyl-sn-glycero-3-phosphocholine,C27H54NO8P
LMGP01010715,2-acetyl-3-heptadecanoyl-sn-glycero-1-phosphocholine,C27H54NO8P
LMGP01010716,1-heptadecanoyl-2-eicosanoyl-sn-glycero-3-phosphocholine,C45H90NO8P
LMGP01010717,1-heptadecanoyl-2-heneicosanoyl-sn-glycero-3-phosphocholine,C46H92NO8P
LMGP01010718,1-heptadecanoyl-2-docosanoyl-sn-glycero-3-phosphocholine,C47H94NO8P
LMGP01010719,1-heptadecanoyl-2-(7Z_10Z_13Z_16Z_19Z-docosapentaenoyl)-sn-glycero-3-phosphocholine,C47H84NO8P
LMGP01010720,1-heptadecanoyl-2-(4Z_7Z_10Z_13Z_16Z_19Z-docosahexaenoyl)-sn-glycero-3-phosphocholine,C47H82NO8P
LMGP01010721,1-heptadecanoyl-2-tricosanoyl-sn-glycero-3-phosphocholine,C48H96NO8P
LMGP01010722,1-heptadecanoyl-2-tetracosanoyl-sn-glycero-3-phosphocholine,C49H98NO8P
LMGP01010723,1-heptadecanoyl-2-pentacosanoyl-sn-glycero-3-phosphocholine,C50H100NO8P
LMGP01010724,1-heptadecanoyl-2-hexacosanoyl-sn-glycero-3-phosphocholine,C51H102NO8P
LMGP01010725,1-heptadecanoyl-2-nonanoyl-sn-glycero-3-phosphocholine,C34H68NO8P
LMGP01010726,1-(10E-heptadecenoyl)-2-(10E-heptadecenoyl)-sn-glycero-3-phosphocholine,C42H80NO8P
LMGP01010727,1_2-di-(10Z-heptadecenoyl)-sn-glycero-3-phosphocholine,C42H80NO8P
LMGP01010728,1_2-di-(9Z-heptadecenoyl)-sn-glycero-3-phosphocholine,C42H80NO8P
LMGP01010729,1-(9Z-heptadecenoyl)-2-octadecanoyl-sn-glycero-3-phosphocholine,C43H84NO8P
LMGP01010730,1-(9Z-heptadecenoyl)-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine,C43H82NO8P
LMGP01010731,1_2-di-(9Z_12Z-heptadecadienoyl)-sn-glycero-3-phosphocholine,C42H76NO8P
LMGP01010732,1-octadecanoyl-2-decanoyl-sn-glycero-3-phosphocholine,C36H72NO8P
LMGP01010733,1-octadecanoyl-2-decanoyl-sn-glycero-3-phosphocholine,C36H72NO8P
LMGP01010734,1-octadecanoyl-2-undecanoyl-sn-glycero-3-phosphocholine,C37H74NO8P
LMGP01010735,1-octadecanoyl-2-(10E-undecenoyl)-sn-glycero-3-phosphocholine,C37H72NO8P
LMGP01010736,1-octadecanoyl-2-dodecanoyl-sn-glycero-3-phosphocholine,C38H76NO8P
LMGP01010737,1-octadecanoyl-2-dodecanoyl-sn-glycero-3-phosphocholine,C38H76NO8P
LMGP01010738,1-octadecanoyl-2-tridecanoyl-sn-glycero-3-phosphocholine,C39H78NO8P
LMGP01010739,1-octadecanoyl-2-tetradecanoyl-sn-glycero-3-phosphocholine,C40H80NO8P
